Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_38_50,VPWR,li1,29.9000,116.9600,1.799606
FILLER_38_27,VPWR,li1,18.1700,116.9600,1.799772
FILLER_38_21,VPWR,li1,16.5600,116.9600,1.799770
FILLER_38_11,VPWR,li1,10.8100,116.9600,1.799770
FILLER_38_3,VPWR,li1,8.7400,116.9600,1.799770
FILLER_37_301,VPWR,li1,144.2100,111.5200,1.798358
FILLER_37_279,VPWR,li1,134.0900,111.5200,1.798360
FILLER_37_271,VPWR,li1,132.0200,111.5200,1.798360
FILLER_37_249,VPWR,li1,120.7500,111.5200,1.798380
FILLER_37_237,VPWR,li1,117.3000,111.5200,1.798390
FILLER_37_225,VPWR,li1,111.7800,111.5200,1.798412
FILLER_37_220,VPWR,li1,107.6400,111.5200,1.798431
FILLER_37_208,VPWR,li1,103.9600,111.5200,1.798448
FILLER_37_169,VPWR,li1,83.4900,111.5200,1.798620
FILLER_37_159,VPWR,li1,78.8900,111.5200,1.798672
FILLER_37_153,VPWR,li1,77.2800,111.5200,1.798714
FILLER_37_141,VPWR,li1,71.3000,111.5200,1.798792
FILLER_37_129,VPWR,li1,67.6200,111.5200,1.798829
FILLER_37_57,VPWR,li1,31.9700,111.5200,1.799490
FILLER_37_55,VPWR,li1,31.0500,111.5200,1.799537
FILLER_37_51,VPWR,li1,29.9000,111.5200,1.799537
FILLER_37_25,VPWR,li1,17.2500,111.5200,1.799733
FILLER_37_21,VPWR,li1,16.1000,111.5200,1.799733
FILLER_37_3,VPWR,li1,7.3600,111.5200,1.799728
FILLER_36_301,VPWR,li1,144.2100,111.5200,1.798358
FILLER_36_289,VPWR,li1,141.2200,111.5200,1.798358
FILLER_36_277,VPWR,li1,135.7000,111.5200,1.798360
FILLER_36_253,VPWR,li1,122.8200,111.5200,1.798374
FILLER_36_243,VPWR,li1,117.7600,111.5200,1.798390
FILLER_36_231,VPWR,li1,114.5400,111.5200,1.798401
FILLER_36_210,VPWR,li1,102.3500,111.5200,1.798462
FILLER_36_206,VPWR,li1,101.2000,111.5200,1.798462
FILLER_36_184,VPWR,li1,90.3900,111.5200,1.798549
FILLER_36_180,VPWR,li1,89.2400,111.5200,1.798549
FILLER_36_145,VPWR,li1,72.4500,111.5200,1.798759
FILLER_36_141,VPWR,li1,71.3000,111.5200,1.798792
FILLER_36_94,VPWR,li1,48.9900,111.5200,1.799139
FILLER_36_66,VPWR,li1,36.3400,111.5200,1.799395
FILLER_36_49,VPWR,li1,28.2900,111.5200,1.799606
FILLER_36_45,VPWR,li1,27.1400,111.5200,1.799606
FILLER_36_27,VPWR,li1,18.1700,111.5200,1.799735
FILLER_36_21,VPWR,li1,16.5600,111.5200,1.799733
FILLER_36_3,VPWR,li1,7.3600,111.5200,1.799728
FILLER_35_301,VPWR,li1,144.2100,106.0800,1.797949
FILLER_35_295,VPWR,li1,141.6800,106.0800,1.797949
FILLER_35_281,VPWR,li1,136.1600,106.0800,1.797951
FILLER_35_278,VPWR,li1,133.8600,106.0800,1.797953
FILLER_35_270,VPWR,li1,131.5600,106.0800,1.797955
FILLER_35_235,VPWR,li1,113.8500,106.0800,1.798017
FILLER_35_225,VPWR,li1,109.7100,106.0800,1.798045
FILLER_35_223,VPWR,li1,108.3300,106.0800,1.798045
FILLER_35_197,VPWR,li1,97.5200,106.0800,1.798123
FILLER_35_178,VPWR,li1,87.6300,106.0800,1.798210
FILLER_35_165,VPWR,li1,82.1100,106.0800,1.798265
FILLER_35_124,VPWR,li1,63.4800,106.0800,1.798517
FILLER_35_91,VPWR,li1,47.6100,106.0800,1.798860
FILLER_35_57,VPWR,li1,31.9700,106.0800,1.799299
FILLER_35_55,VPWR,li1,31.0500,106.0800,1.799299
FILLER_35_47,VPWR,li1,28.9800,106.0800,1.799383
FILLER_35_11,VPWR,li1,11.0400,106.0800,1.799635
FILLER_35_3,VPWR,li1,8.7400,106.0800,1.799635
FILLER_34_301,VPWR,li1,144.2100,106.0800,1.797949
FILLER_34_253,VPWR,li1,122.8200,106.0800,1.797982
FILLER_34_241,VPWR,li1,116.8400,106.0800,1.798003
